sampl_strt,sampl_end,type,slope_position,rootstock,vine_id,d2h,d18o,lc_ex
2021-06-10,2021-06-10,Soil30,BOT,1103,NaN,-39.32,-5.64,-4.8704
2021-06-10,2021-06-10,Soil30,BOT,420A,NaN,-34.76,-4.64,-7.4504
2021-06-10,2021-06-10,Soil30,TOP,1103,NaN,-32.9,-4.09,-9.5174
2021-06-10,2021-06-10,Soil30,TOP,420A,NaN,-32.9,-3.33,-14.9438
2021-06-10,2021-06-10,Soil60,BOT,1103,NaN,-38.93,-5.37,-6.4082
2021-06-10,2021-06-10,Soil60,BOT,420A,NaN,-40.26,-5.3,-8.238
2021-06-10,2021-06-10,Soil60,TOP,1103,NaN,-38.24,-4.95,-8.71700000000001
2021-06-10,2021-06-10,Soil60,TOP,420A,NaN,-40.28,-5.47,-7.0442
2021-06-10,2021-06-10,Leaf,BOT,1103,1,12.76,8.41,-53.1074
2021-06-10,2021-06-10,Leaf,BOT,1103,2,17.61,12.89,-80.2446
2021-06-10,2021-06-10,Leaf,BOT,420A,1,13.14,9.84,-62.9376
2021-06-10,2021-06-10,Leaf,BOT,420A,2,7.41,8.55,-59.457
2021-06-10,2021-06-10,Leaf,TOP,1103,1,16.5,10.2,-62.148
2021-06-10,2021-06-10,Leaf,TOP,1103,2,22.02,13.48,-80.0472
2021-06-10,2021-06-10,Leaf,TOP,420A,1,18.33,10.75,-64.245
2021-06-10,2021-06-10,Leaf,TOP,420A,2,14.03,8.39,-51.6946
2021-05-07,2021-06-10,Rain,,,NaN,-14.21,-2.65,-1.109
2021-06-10,2021-06-10,Shoot,BOT,1103,1,-37.93,-4.2,-13.762
2021-06-10,2021-06-10,Shoot,BOT,1103,2,-46.82,-6.88,-3.5168
2021-06-10,2021-06-10,Shoot,BOT,420A,1,-42.87,-5.97,-6.0642
2021-06-10,2021-06-10,Shoot,BOT,420A,2,-39.33,-4.86,-10.4496
2021-06-10,2021-06-10,Shoot,TOP,1103,1,-30.32,-4.23,-5.9378
2021-06-10,2021-06-10,Shoot,TOP,1103,2,-37.51,-5.47,-4.2742
2021-06-10,2021-06-10,Shoot,TOP,420A,1,-41.34,-5.68,-6.6048
2021-06-10,2021-06-10,Shoot,TOP,420A,2,-41.41,-5.74,-6.24639999999999
2021-06-22,2021-06-22,Soil30,BOT,1103,NaN,-40.78,-5.27,-8.97220000000001
2021-06-22,2021-06-22,Soil30,BOT,420A,NaN,-37.95,-5.13,-7.1418
2021-06-22,2021-06-22,Soil30,TOP,1103,NaN,-38.33,-4.63,-11.0918
2021-06-22,2021-06-22,Soil30,TOP,420A,NaN,-36.29,-5,-6.41
2021-06-22,2021-06-22,Soil60,BOT,1103,NaN,-49.09,-6.77,-6.57220000000001
2021-06-22,2021-06-22,Soil60,BOT,420A,NaN,-36.82,-5.25,-5.155
2021-06-22,2021-06-22,Soil60,TOP,1103,NaN,-34.68,-3.61,-14.7246
2021-06-22,2021-06-22,Soil60,TOP,420A,NaN,-42.58,-6.19,-4.20339999999999
2021-06-22,2021-06-22,Bag Water,BOT,1103,1,-20.09,-3.11,-3.7046
2021-06-22,2021-06-22,Bag Water,BOT,1103,2,-18.31,-2.33,-7.4938
2021-06-22,2021-06-22,Bag Water,BOT,420A,1,-19.52,-2.57,-6.9902
2021-06-22,2021-06-22,Bag Water,BOT,420A,2,-21.28,-3.21,-4.1806
2021-06-22,2021-06-22,Bag Water,TOP,1103,1,-19.66,-2.25,-9.415
2021-06-22,2021-06-22,Bag Water,TOP,1103,2,-17.55,-1.17,-15.0162
2021-06-22,2021-06-22,Bag Water,TOP,420A,1,-17.99,-0.77,-18.3122
2021-06-22,2021-06-22,Bag Water,TOP,420A,2,-17.62,-0.91,-16.9426
2021-06-22,2021-06-22,Leaf,BOT,1103,1,11.64,7.75,-49.515
2021-06-22,2021-06-22,Leaf,BOT,1103,2,12.71,8.56,-54.2284
2021-06-22,2021-06-22,Leaf,BOT,420A,1,10.92,3.5,-19.89
2021-06-22,2021-06-22,Leaf,TOP,1103,1,24.82,7.84,-36.9776
